REPORTER_DEA_NO	REPORTER_BUS_ACT	REPORTER_NAME	REPORTER_ADDL_CO_INFO	REPORTER_ADDRESS1	REPORTER_ADDRESS2	REPORTER_CITY	REPORTER_STATE	REPORTER_ZIP	REPORTER_COUNTY	BUYER_DEA_NO	BUYER_BUS_ACT	BUYER_NAME	BUYER_ADDL_CO_INFO	BUYER_ADDRESS1	BUYER_ADDRESS2	BUYER_CITY	BUYER_STATE	BUYER_ZIP	BUYER_COUNTY	TRANSACTION_CODE	DRUG_CODE	NDC_NO	DRUG_NAME	QUANTITY	UNIT	ACTION_INDICATOR	ORDER_FORM_NO	CORRECTION_NO	STRENGTH	TRANSACTION_DATE	CALC_BASE_WT_IN_GM	DOSAGE_UNIT	TRANSACTION_ID	Product_Name	Ingredient_Name	Measure	MME_Conversion_Factor	Combined_Labeler_Name	Revised_Company_Name	Reporter_family	dos_str
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	406036701	HYDROCODONE	1	null	null	null	null	null	2072012	0.6054	100	2449	HYDROCODONE BIT/ACETA 10MG/325MG USP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	SpecGx LLC	Mallinckrodt	American Sales Company	10
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	406036701	HYDROCODONE	2	null	null	null	null	null	2282012	1.2108	200	9785	HYDROCODONE BIT/ACETA 10MG/325MG USP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	SpecGx LLC	Mallinckrodt	American Sales Company	10
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	603389121	HYDROCODONE	1	null	null	null	null	null	5072012	0.45405	100	1278	HYDROCODONE BITARTRATE/ACETA 7.5MG/3	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	American Sales Company	7.5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	406036701	HYDROCODONE	1	null	null	null	null	null	5042012	0.6054	100	902	HYDROCODONE BIT/ACETA 10MG/325MG USP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	SpecGx LLC	Mallinckrodt	American Sales Company	10
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	603388821	HYDROCODONE	2	null	null	null	null	null	8172012	1.2108	200	4834	HYDROCODONE.BIT & ACETA  10MG & 500M	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	American Sales Company	10
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	59011042010	OXYCODONE	1	null	null	121631902	null	null	6012012	1.793	100	1206056338	OXYCONTIN 20MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	McKesson Corporation	20
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	228287911	OXYCODONE	2	null	null	121631904	null	null	7242012	5.379	200	1207008210	OXYCODONE HCL 30MG TABLETS, 100 CT	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	30
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	59011043010	OXYCODONE	1	null	null	123931969	null	null	9142012	2.6895	100	1209055421	OXYCONTIN 30MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	McKesson Corporation	30
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	406051205	OXYCODONE	1	null	null	125064338	null	null	11052012	2.24125	500	1211016922	OXYCODONE HCL/ACETAMINOPHEN 5MG/325M	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	McKesson Corporation	5
PD0029567	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG COMPANY	7721 POLK STREET	LANDOVER	MD	20785	PRINCE GEORGES	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	60951031070	OXYCODONE	4	null	null	120022319	null	null	1252012	1.7340103	400	1201071515	ENDODAN OXYCODONE & ASP, USP 4.8355M	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	4.8355
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	603389021	HYDROCODONE	1	null	null	null	null	null	4092012	0.3027	100	2416	HYDROCODONE BITARTRATE 5MG/ACETAMINO	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	American Sales Company	5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	603389021	HYDROCODONE	1	null	null	null	null	null	4172012	0.3027	100	5646	HYDROCODONE BITARTRATE 5MG/ACETAMINO	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	American Sales Company	5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	406035801	HYDROCODONE	1	null	null	null	null	null	8172012	0.45405	100	4832	HYDROCODONE BIT/ACETA 7.5MG/500MG US	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	SpecGx LLC	Mallinckrodt	American Sales Company	7.5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	603389121	HYDROCODONE	1	null	null	null	null	null	11232012	0.45405	100	7724	HYDROCODONE BITARTRATE/ACETA 7.5MG/3	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	American Sales Company	7.5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	228287911	OXYCODONE	2	null	null	121631902	null	null	6012012	5.379	200	1206007695	OXYCODONE HCL 30MG TABLETS, 100 CT	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	30
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	591038705	HYDROCODONE	2	null	null	null	null	null	6282012	4.5405	1000	1206030566	HYDROCODONE BITARTRATE 7.5MG/ACETAMI	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	7.5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	60951031070	OXYCODONE	6	null	null	121631908	null	null	7312012	2.60101545	600	1207065818	ENDODAN OXYCODONE & ASP, USP 4.8355M	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	4.8355
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	406051205	OXYCODONE	1	null	null	123931942	null	null	10252012	2.24125	500	1210018052	OXYCODONE HCL/ACETAMINOPHEN 5MG/325M	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	McKesson Corporation	5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	63481062970	OXYCODONE	2	null	null	123931945	null	null	10032012	1.793	200	1210075110	PERCOCET TABLETS 10MG OXYCODONE HCL/	OXYCODONE HYDROCHLORIDE	TAB	1.5	Endo Pharmaceuticals, Inc.	Endo Pharmaceuticals, Inc.	McKesson Corporation	10
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	63481012170	OXYCODONE	1	null	null	125064352	null	null	12172012	0.433502575	100	1212071345	PERCODAN - 4.8355MG OXYCODONE.HCL &	OXYCODONE HYDROCHLORIDE	TAB	1.5	Endo Pharmaceuticals, Inc.	Endo Pharmaceuticals, Inc.	McKesson Corporation	4.8355
PD0029567	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG COMPANY	7721 POLK STREET	LANDOVER	MD	20785	PRINCE GEORGES	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	406055201	OXYCODONE	2	null	null	120022317	null	null	1232012	0.8965	200	1201021977	OXYCODONE HYDROCHLORIDE TABLETS 5MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	McKesson Corporation	5
PD0029567	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG COMPANY	7721 POLK STREET	LANDOVER	MD	20785	PRINCE GEORGES	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	591093301	OXYCODONE	1	null	null	120022319	null	null	1252012	0.672375	100	1201036167	OXYCODONE.HCL/APAP 7.5MG/325MG TABS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	7.5
PD0029567	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG COMPANY	7721 POLK STREET	LANDOVER	MD	20785	PRINCE GEORGES	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	59011041010	OXYCODONE	1	null	null	120022348	null	null	2232012	0.8965	100	1202049149	OXYCONTIN 10MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	McKesson Corporation	10
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	406036701	HYDROCODONE	1	null	null	null	null	null	1202012	0.6054	100	6832	HYDROCODONE BIT/ACETA 10MG/325MG USP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	SpecGx LLC	Mallinckrodt	American Sales Company	10
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	603389021	HYDROCODONE	1	null	null	null	null	null	2062012	0.3027	100	1226	HYDROCODONE BITARTRATE 5MG/ACETAMINO	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	American Sales Company	5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	406035801	HYDROCODONE	2	null	null	null	null	null	2242012	0.9081	200	8198	HYDROCODONE BIT/ACETA 7.5MG/500MG US	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	SpecGx LLC	Mallinckrodt	American Sales Company	7.5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	603389021	HYDROCODONE	1	null	null	null	null	null	8242012	0.3027	100	6807	HYDROCODONE BITARTRATE 5MG/ACETAMINO	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	American Sales Company	5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	603389021	HYDROCODONE	1	null	null	null	null	null	9072012	0.3027	100	1680	HYDROCODONE BITARTRATE 5MG/ACETAMINO	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	American Sales Company	5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	406051205	OXYCODONE	1	null	null	121631889	null	null	4262012	2.24125	500	1204013241	OXYCODONE HCL/ACETAMINOPHEN 5MG/325M	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	McKesson Corporation	5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	406051205	OXYCODONE	1	null	null	121631908	null	null	7312012	2.24125	500	1207015606	OXYCODONE HCL/ACETAMINOPHEN 5MG/325M	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	McKesson Corporation	5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	406055201	OXYCODONE	6	null	null	123931936	null	null	10152012	2.6895	600	1210019213	OXYCODONE HYDROCHLORIDE TABLETS 5MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	McKesson Corporation	5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	53746020401	OXYCODONE	3	null	null	125064342	null	null	11302012	2.6895	300	1211057199	OXYCODONE HCL/ACETAMINOPHEN TABS 10M	OXYCODONE HYDROCHLORIDE	TAB	1.5	Amneal Pharmaceuticals LLC	Amneal Pharmaceuticals, Inc.	McKesson Corporation	10
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	63481062870	OXYCODONE	1	null	null	125064329	null	null	11122012	0.672375	100	1211073745	PERCOCET TABLETS OXYCODONE HCL 7.5MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	Endo Pharmaceuticals, Inc.	Endo Pharmaceuticals, Inc.	McKesson Corporation	7.5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	406035701	HYDROCODONE	1	null	null	null	null	null	12132012	0.3027	100	1212012504	HYDROCODONE BIT/ACETAMINOPHEN 5MG/50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	SpecGx LLC	Mallinckrodt	McKesson Corporation	5
PD0029567	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG COMPANY	7721 POLK STREET	LANDOVER	MD	20785	PRINCE GEORGES	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	60951031070	OXYCODONE	2	null	null	115811151	null	null	1182012	0.86700515	200	1201071505	ENDODAN OXYCODONE & ASP, USP 4.8355M	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	4.8355
PD0029567	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG COMPANY	7721 POLK STREET	LANDOVER	MD	20785	PRINCE GEORGES	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	591093301	OXYCODONE	4	null	null	120022340	null	null	3022012	2.6895	400	1203025985	OXYCODONE.HCL/APAP 7.5MG/325MG TABS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	7.5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	406035801	HYDROCODONE	3	null	null	null	null	null	1202012	1.36215	300	6831	HYDROCODONE BIT/ACETA 7.5MG/500MG US	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	SpecGx LLC	Mallinckrodt	American Sales Company	7.5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	406035801	HYDROCODONE	2	null	null	null	null	null	2062012	0.9081	200	1223	HYDROCODONE BIT/ACETA 7.5MG/500MG US	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	SpecGx LLC	Mallinckrodt	American Sales Company	7.5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	603388128	HYDROCODONE	1	null	null	null	null	null	2212012	1.5135	500	7335	HYDROCODONE.BIT. & ACETA  5MG & 500M	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	American Sales Company	5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	603389121	HYDROCODONE	1	null	null	null	null	null	2242012	0.45405	100	8201	HYDROCODONE BITARTRATE/ACETA 7.5MG/3	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	American Sales Company	7.5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	603389121	HYDROCODONE	1	null	null	null	null	null	8272012	0.45405	100	7237	HYDROCODONE BITARTRATE/ACETA 7.5MG/3	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	American Sales Company	7.5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	406035801	HYDROCODONE	1	null	null	null	null	null	10222012	0.45405	100	6983	HYDROCODONE BIT/ACETA 7.5MG/500MG US	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	SpecGx LLC	Mallinckrodt	American Sales Company	7.5
PG0149650	DISTRIBUTOR	AMERICAN SALES COMPANY	null	7110 AMBASSADOR ROAD	null	BALTIMORE	MD	21244	BALTIMORE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9193	603389021	HYDROCODONE	2	null	null	null	null	null	11302012	0.6054	200	9957	HYDROCODONE BITARTRATE 5MG/ACETAMINO	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	American Sales Company	5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	53746020401	OXYCODONE	2	null	null	120022328	null	null	3302012	1.793	200	1203006244	OXYCODONE HCL/ACETAMINOPHEN TABS 10M	OXYCODONE HYDROCHLORIDE	TAB	1.5	Amneal Pharmaceuticals LLC	Amneal Pharmaceuticals, Inc.	McKesson Corporation	10
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	406051205	OXYCODONE	1	null	null	121618075	null	null	4172012	2.24125	500	1204013025	OXYCODONE HCL/ACETAMINOPHEN 5MG/325M	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	McKesson Corporation	5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AG1060033	CHAIN PHARMACY	GIANT PHARMACY 167	null	948 BAY RIDGE ROAD	null	ANNAPOLIS	MD	21403	ANNE ARUNDEL	S	9143	59011041010	OXYCODONE	1	null	null	121631891	null	null	6072012	0.8965	100	1206055414	OXYCONTIN 10MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	McKesson Corporation	10
